Year,GDP,Inflation,Exchange rate,Industrial_Production,Forex_Reserves,Exports
1996,,,,,,1170.504
1997,608093.5,,36.32046,,0.65974,1269.848
1998,644683.9,,41.23745,220000000000.0,0.699389,1378.671
1999,689324.5,,43.05785,233000000000.0,0.743921,1536.025
2000,728354.6,,44.94066,247000000000.0,0.777293,1909.391
2001,756637.5,,47.17988,254000000000.0,0.955777,2045.921
2002,791449.3,5.206416,48.59392,267000000000.0,1.259105,2455.365
2003,845814.2,4.33954,46.57471,284000000000.0,1.422541,2748.953
2004,911152.4,3.85364,45.30096,315000000000.0,1.314929,3475.747
2005,993306.1,3.739476,44.09727,344000000000.0,0.961877,4391.15
2006,1086039.0,6.061532,45.28342,386000000000.0,0.996001,5520.65
2007,1195209.0,5.992872,41.35377,446000000000.0,1.202799,6197.286
2008,1269547.0,8.571287,43.52441,481000000000.0,0.797138,8409.359
2009,1334473.0,9.723108,48.42569,482000000000.0,1.101097,7985.091
2010,1480055.0,10.35986,45.73159,528000000000.0,0.847258,10284.62
2011,1595095.0,8.309827,46.66909,554000000000.0,0.638673,14104.24
2012,1687476.0,9.378961,53.41422,558000000000.0,0.6035,15832.51
2013,1791203.0,10.41286,58.55305,568000000000.0,0.632002,18439.66
2014,1916714.0,6.637531,61.02941,594000000000.0,0.693634,19670.8
2015,2060492.0,4.873544,64.13791,609000000000.0,0.890946,17160.62
2016,2246004.0,4.974869,67.18516,640000000000.0,0.993771,17758.97
2017,2383280.0,3.32717,65.11012,663000000000.0,0.910085,19459.78
2018,2556453.0,3.920453,68.40717,697000000000.0,0.768621,22228.36
2019,2673906.0,3.746322,70.43223,702000000000.0,0.945696,22828.72
2020,2510261.0,6.614196,74.12084,624000000000.0,1.574827,20471.59
2021,2749380.0,5.145997,73.90728,705000000000.0,1.107483,29332.47
2022,2942618.0,6.677845,78.59254,738000000000.0,0.780657,35657.54
2023,3150165.0,5.654064,82.58736,780000000000.0,0.925055,35714.6
2024,3377677.0,4.97825,83.66917,814000000000.0,0.885586,37067.78
2025,3630711.0,2.187101,87.16593,845000000000.0,,
2026,,2.743692,92.73196,,,
