,Year,Forex_Reserves
1,1997,0.65974
2,1998,0.699389
3,1999,0.743921
4,2000,0.777293
5,2001,0.955777
6,2002,1.259105
7,2003,1.422541
8,2004,1.314929
9,2005,0.961877
10,2006,0.996001
11,2007,1.202799
12,2008,0.797138
13,2009,1.101097
14,2010,0.847258
15,2011,0.638673
16,2012,0.6035
17,2013,0.632002
18,2014,0.693634
19,2015,0.890946
20,2016,0.993771
21,2017,0.910085
22,2018,0.768621
23,2019,0.945696
24,2020,1.574827
25,2021,1.107483
26,2022,0.780657
27,2023,0.925055
28,2024,0.885586
29,2025,
30,2026,
