Year,Industrial_Production
1998,220000000000.0
1999,233000000000.0
2000,247000000000.0
2001,254000000000.0
2002,267000000000.0
2003,284000000000.0
2004,315000000000.0
2005,344000000000.0
2006,386000000000.0
2007,446000000000.0
2008,481000000000.0
2009,482000000000.0
2010,528000000000.0
2011,554000000000.0
2012,558000000000.0
2013,568000000000.0
2014,594000000000.0
2015,609000000000.0
2016,640000000000.0
2017,663000000000.0
2018,697000000000.0
2019,702000000000.0
2020,624000000000.0
2021,705000000000.0
2022,738000000000.0
2023,780000000000.0
2024,814000000000.0
2025,845000000000.0
2026,
